Original Term,Modern Translation,Context,Importance
"justice","being based and fair","Core philosophical term","High"
"injustice","being cringe and unfair","Core philosophical term","High"
"virtue","being goated","Core philosophical term","High"
"excellence","absolute peak performance","Core philosophical term","High"
"the good","the ultimate W","Core philosophical term","High"
"the just","the based ones","Core philosophical term","High"
"the unjust","the L-takers","Core philosophical term","High"
"guardian","elite defender","Core philosophical term","High"
"philosopher king","galaxy brain ruler","Core philosophical term","High"
"auxiliary","enforcer squad","Core philosophical term","High"
"craftsman","grindset worker","Core philosophical term","High"
"tyrant","toxic dictator","Core philosophical term","High"
"democracy","chaos mode government","Core philosophical term","High"
"oligarchy","rich kid rule","Core philosophical term","High"
"timocracy","clout-chaser state","Core philosophical term","High"
"forms","eternal blueprints","Core philosophical term","High"
"the form of the good","the ultimate reality check","Core philosophical term","High"
"knowledge","being actually woke","Core philosophical term","High"
"opinion","mid-tier takes","Core philosophical term","High"
"wisdom","gigachad brain energy","Core philosophical term","High"
"ignorance","NPC mindset","Core philosophical term","High"
"truth","the real tea","Core philosophical term","High"
"appearance","surface-level vibes","Core philosophical term","High"
"reality","the actual facts","Core philosophical term","High"
"reason","big brain energy","Core philosophical term","High"
"spirit","emotional damage dealer","Core philosophical term","High"
"appetite","hungry boi instincts","Core philosophical term","High"
"soul","your whole vibe","Core philosophical term","High"
"harmony","everything hitting different","Core philosophical term","High"
"education","leveling up your brain","Core philosophical term","High"
"gymnastic","getting absolutely jacked","Core philosophical term","High"
"music","vibe cultivation","Core philosophical term","High"
"dialectic","galaxy brain debate mode","Core philosophical term","High"
"mathematics","number autism","Core philosophical term","High"
"being","existing for real","Core philosophical term","High"
"becoming","constant flux energy","Core philosophical term","High"
"essence","core programming","Core philosophical term","High"
"participation","downloading the vibe","Core philosophical term","High"
"giving each his due","giving everyone their receipts","Cephalus/Polemarchus definition","major"
"helping friends and harming enemies","ride or die for homies, ops get dropped","Polemarchus definition","major"
"advantage of the stronger","sigma grindset always wins","Thrasymachus definition","critical"
"craft analogy","skill specialization argument","Socrates refutation method","critical"
"Ring of Gyges","invisibility hacks IRL","Ultimate power corrupts test","critical"
"three types of good","tier list of valuable things","Glaucon's classification","major"
"social contract","society's terms of service","Origin of justice","critical"
"city of pigs","basic NPC society","First city model","minor"
"noble lie","necessary reality distortion field","Myth of metals","critical"
"myth of metals","genetic tier system lore","Social stratification","major"
"censorship of poetry","content moderation for society","Educational reform","major"
"guardians","elite warrior-philosophers","Ruling class","critical"
"tripartite soul","three-part personality system","Psychological model","critical"
"wisdom","galaxy brain governance","Virtue of rulers","major"
"courage","based defender energy","Virtue of guardians","major"
"moderation","balanced vibe check","Virtue of all classes","major"
"justice in the soul","internal harmony hits different","Personal justice","critical"
"philosopher kings","galaxy brain rulers","Ideal government","critical"
"women guardians","girlboss warriors","Gender equality","critical"
"communal wives and children","no nuclear family mode","Social structure","major"
"knowledge vs opinion","facts vs mid takes","Epistemology","critical"
"Form of the Good","ultimate reality source code","Highest knowledge","critical"
"sun analogy","the Good is basically the sun but for reality","Illumination metaphor","critical"
"divided line","knowledge tier list visualization","Levels of reality","critical"
"ship of state","country is a ship and everyone's fighting for the wheel","Political metaphor","major"
"cave allegory","we're all watching shadows on TikTok","Reality vs illusion","critical"
"return to the cave","trying to redpill the NPCs","Philosopher's duty","critical"
"mathematical education","number autism training arc","Curriculum","major"
"dialectic","final boss debate skills","Highest education","critical"
"decline of states","how societies take the L","Political devolution","critical"
"timocracy","clout-chaser government","Honor-based rule","major"
"oligarchy","billionaire boys club rule","Wealth-based rule","major"
"democracy","everyone votes, chaos ensues","Mob rule","major"
"tyranny","toxic dictator arc","Worst government","critical"
"tyrannical soul","unhinged villain mindset","Psychological tyranny","critical"
"three parts of soul","reason vs feels vs hunger","Internal conflict","major"
"happiness calculation","who's actually winning at life","Justice vs injustice","critical"
"philosopher's pleasures","galaxy brain satisfaction hits different","Types of pleasure","major"
"poetry as imitation","all art is basically fanfic of reality","Critique of art","major"
"thrice removed from truth","three degrees of separation from facts","Imitation theory","major"
"immortality of soul","consciousness doesn't just delete itself","Afterlife argument","critical"
"Myth of Er","respawn mechanics of the universe","Cosmic justice","critical"
